,precision,recall,f1-score,support
Authentic,0.7804878048780488,0.8648648648648649,0.8205128205128205,111.0
AI,0.8584905660377359,0.7711864406779662,0.8125,118.0
accuracy,0.8165938864628821,0.8165938864628821,0.8165938864628821,0.8165938864628821
macro avg,0.8194891854578923,0.8180256527714156,0.8165064102564102,229.0
weighted avg,0.8206813673970142,0.8165938864628821,0.8163839435673498,229.0
