accuracy,loss,val_accuracy,val_loss,learning_rate
0.7877551317214966,0.49239128828048706,0.7215189933776855,0.57003253698349,9.999999747378752e-06
0.7972789406776428,0.48006176948547363,0.7215189933776855,0.5693223476409912,9.999999747378752e-06
0.8149659633636475,0.4678928554058075,0.7278481125831604,0.562468409538269,9.999999747378752e-06
0.8163265585899353,0.46230342984199524,0.7215189933776855,0.5569791197776794,9.999999747378752e-06
0.8190476298332214,0.4445369243621826,0.7215189933776855,0.5530261993408203,9.999999747378752e-06
0.8217687010765076,0.447663277387619,0.7215189933776855,0.5488082766532898,9.999999747378752e-06
0.8231292366981506,0.4388192296028137,0.7215189933776855,0.5460062623023987,9.999999747378752e-06
0.8435373902320862,0.42422357201576233,0.7278481125831604,0.5413362979888916,9.999999747378752e-06
0.8517006635665894,0.4179757237434387,0.7215189933776855,0.5390715003013611,9.999999747378752e-06
0.839455783367157,0.4326338469982147,0.7278481125831604,0.5348239541053772,9.999999747378752e-06
0.8435373902320862,0.41676977276802063,0.7278481125831604,0.5332124829292297,9.999999747378752e-06
0.844897985458374,0.4032920300960541,0.7215189933776855,0.5299254059791565,9.999999747378752e-06
0.8462585210800171,0.40385639667510986,0.7278481125831604,0.5277792811393738,9.999999747378752e-06
0.8693877458572388,0.3887532949447632,0.7278481125831604,0.5259193181991577,9.999999747378752e-06
0.8544217944145203,0.3961687684059143,0.7278481125831604,0.5242909789085388,9.999999747378752e-06
